time,ACCx,ACCy,ACCz,ACCnorm,,
0.174586,0.2562,-0.077348,-0.119072,0.292915166,1,0.336737389
0.18464,0.214232,-0.059048,-0.142984,0.264246931,2,
0.193399,0.309148,-0.054168,-0.132492,0.340676956,3,
0.20205,0.148108,-0.046604,-0.133224,0.204588726,4,
0.211585,0.31476,-0.139568,-0.137128,0.370617286,5,
0.225005,0.323056,0.044408,-0.19398,0.379427846,6,
0.234601,0.137128,-0.0183,-0.11102,0.177382126,7,
0.244213,0.398452,0.014884,-0.152744,0.426985081,8,
0.227319,0.202276,-0.014884,-0.157624,0.256870471,9,
0.236254,0.179096,-0.022448,-0.156648,0.238993485,10,
0.243097,0.173972,-0.01342,-0.15738,0.234978334,11,
0.250765,0.170312,0.001464,-0.159576,0.233394131,12,
0.259195,0.169092,0.010736,-0.155672,0.230089412,13,
0.266328,0.16348,0.01952,-0.145912,0.219993301,14,
0.273107,0.179096,0.018788,-0.133224,0.224002233,15,
0.280657,0.191052,0.019276,-0.122976,0.228025278,16,
0.287509,0.211548,0.023912,-0.120048,0.244409211,17,
0.294808,0.217892,0.017568,-0.116388,0.247652427,18,
0.301783,0.224724,0.00976,-0.114436,0.252372209,19,
0.308027,0.226432,0.004148,-0.116144,0.254515393,20,
0.314154,0.22204,0.003172,-0.116632,0.250828321,21,
0.320483,0.219356,0.00488,-0.118096,0.249173703,22,
0.326884,0.213012,0.003416,-0.123464,0.246229853,23,
0.337908,0.209596,0.009028,-0.129808,0.246702462,24,
0.3443,0.210816,0.006588,-0.137372,0.251709861,25,
0.352168,0.225212,0.017812,-0.1403,0.265935711,26,
0.359271,0.234728,0.040504,-0.137128,0.274848861,27,
0.365648,0.22814,0.036356,-0.139812,0.270031505,28,
0.373444,0.23912,0.029036,-0.142008,0.2796207,29,
0.380711,0.249856,0.027084,-0.145912,0.290606049,30,
0.387167,0.249124,0.01952,-0.132004,0.282610781,31,
0.394245,0.279868,-0.000732,-0.142496,0.314056911,32,
0.401374,0.291336,-0.01098,-0.148108,0.32700643,33,
0.408788,0.37454,-0.020496,-0.14152,0.400909227,34,
0.415169,0.337208,0.000244,-0.14152,0.365700978,35,
0.422305,0.37088,0.00366,-0.158844,0.403480838,36,
0.429619,0.384544,0.002196,-0.183244,0.42597802,37,
0.436684,0.313784,0.000732,-0.2013,0.372803735,38,
0.443818,0.366244,-0.00122,-0.214476,0.424424446,39,
0.450874,0.373564,-0.005124,-0.219112,0.43311244,40,
0.457927,0.389912,-0.008784,-0.216184,0.445919329,41,
0.464554,0.400404,-0.02318,-0.209352,0.452425613,42,
0.471674,0.415044,-0.036112,-0.128588,0.436005129,43,
0.478765,0.45994,-0.061732,-0.140056,0.48473841,44,
0.486294,0.471408,-0.089304,-0.088084,0.487810924,45,
0.492989,0.478484,-0.153232,-0.041724,0.504150648,46,
0.499451,0.44774,-0.147864,-0.018788,0.471898145,47,
0.507048,0.415288,-0.13664,-0.018056,0.437562146,48,
0.513925,0.35502,-0.145668,-0.058804,0.388221943,49,
0.520401,0.339404,-0.127368,-0.096136,0.375046415,50,
0.527877,0.339892,-0.115168,-0.126636,0.380561318,51,
0.53428,0.370392,-0.043676,-0.135176,0.396699354,52,
0.541488,0.393084,-0.037576,-0.248636,0.466633526,53,
0.548562,0.394548,0.007564,-0.236192,0.459904337,54,
0.555339,0.405528,0.030988,-0.278648,0.493009049,55,
0.561856,0.408212,0.016592,-0.322568,0.520540533,56,
0.570829,0.402356,0.027816,-0.346236,0.531548162,57,
0.577213,0.36844,0.036844,-0.35014,0.509611159,58,
0.584302,0.345504,0.016836,-0.32696,0.475982465,59,
0.591151,0.309636,0.037332,-0.306708,0.437421911,60,
0.597554,0.260104,0.018056,-0.288164,0.388611118,61,
0.60447,0.216672,-0.001464,-0.268888,0.345325434,62,
0.61098,0.17934,-0.020984,-0.23668,0.2976921,63,
0.61736,0.141764,-0.04148,-0.159332,0.217265525,64,
0.623141,0.122976,-0.037576,-0.1708,0.213793574,65,
0.635784,0.096868,-0.071492,-0.066124,0.13735683,66,
0.642279,0.08052,-0.08662,-0.085888,0.146161703,67,
0.649021,0.059292,-0.098576,-0.077592,0.138756216,68,
0.655399,0.054656,-0.109068,-0.077104,0.144319554,69,
0.662322,0.078812,-0.107604,-0.080032,0.155547656,70,
0.668665,0.070272,-0.16592,-0.091744,0.202199312,71,
0.676723,0.068808,-0.169092,-0.182756,0.258314539,72,
0.684396,0.163236,-0.20008,-0.162992,0.305359444,73,
0.690844,0.17202,-0.183244,-0.190808,0.315558135,74,
0.698201,0.18788,-0.11468,-0.20984,0.304110543,75,
0.704591,0.188612,-0.096624,-0.238876,0.319331219,76,
0.711593,0.26474,-0.0854,-0.255224,0.377517838,77,
0.718961,0.323788,-0.081984,-0.251808,0.418290944,78,
0.72534,0.364536,-0.09028,-0.239364,0.44534492,79,
0.732261,0.368196,-0.09882,-0.24888,0.455274578,80,
0.73865,0.389912,-0.122,-0.258884,0.483669612,81,
0.745745,0.4148,-0.021472,-0.271084,0.495990546,82,
0.75223,0.451888,0.012444,-0.27572,0.529508391,83,
0.758965,0.47458,0.036112,-0.256444,0.540642005,84,
0.764739,0.468236,0.047824,-0.22814,0.523048704,85,
0.77262,0.434808,0.001952,-0.2074,0.481743259,86,
0.779336,0.383812,0.017812,-0.1891,0.428237935,87,
0.786388,0.34648,-0.010492,-0.18422,0.392549972,88,
0.793278,0.310856,-0.018056,-0.187392,0.363418813,89,
0.799747,0.27938,-0.030256,-0.19032,0.339396983,90,
0.806833,0.239364,-0.041724,-0.190564,0.308789013,91,
0.813629,0.217892,-0.05734,-0.187148,0.292897889,92,
0.82208,0.19398,-0.06344,-0.171044,0.266287296,93,
0.828436,0.184708,-0.081252,-0.150304,0.251615232,94,
0.835831,0.18178,-0.108824,-0.135908,0.251709388,95,
0.842538,0.14762,-0.122,-0.10858,0.220148315,96,
0.849685,0.15006,-0.130052,-0.085644,0.216255453,97,
0.856682,0.149572,-0.110776,-0.075152,0.200726003,98,
0.86394,0.148108,-0.05368,-0.111264,0.192865756,99,
0.870412,0.149572,-0.141276,-0.059536,0.214185029,100,
0.877464,0.178608,-0.122488,-0.032208,0.218955436,101,
0.884578,0.223992,-0.09394,-0.030256,0.244770434,102,
0.892143,0.223748,-0.073932,-0.034892,0.238215364,103,
0.898497,0.245464,-0.062952,-0.036356,0.256002516,104,
0.905821,0.257908,-0.071004,-0.055632,0.273227056,105,
0.912235,0.290604,-0.101992,-0.077592,0.317606,106,
0.920085,0.33428,-0.091988,-0.093696,0.359143218,107,
0.926772,0.337452,-0.075884,-0.100528,0.360191772,108,
0.933532,0.33062,-0.091256,-0.108336,0.359685878,109,
0.940015,0.333304,-0.089792,-0.1098,0.362229485,110,
0.947437,0.334036,-0.084424,-0.105896,0.360446146,111,
0.954554,0.313052,-0.088572,-0.10858,0.342981297,112,
0.9614,0.301828,-0.081496,-0.103212,0.329233134,113,
0.968703,0.299876,-0.081984,-0.105896,0.328421915,114,
0.976403,0.301096,-0.080764,-0.106872,0.329550071,115,
0.983131,0.298168,-0.08296,-0.113948,0.329803979,116,
0.990206,0.299632,-0.082228,-0.116876,0.331965026,117,
0.997027,0.295972,-0.07564,-0.187392,0.358380519,118,
0.004268,0.301828,-0.07198,-0.134444,0.338166307,119,
0.010718,0.307684,-0.07686,-0.142984,0.347881198,120,
0.018151,0.320616,-0.078812,-0.153476,0.364089046,121,
0.024522,0.32452,-0.068564,-0.167628,0.371636111,122,
0.032264,0.338672,-0.06466,-0.188124,0.392772553,123,
0.03945,0.345016,-0.053192,-0.206668,0.405681022,124,
0.047128,0.348432,-0.048068,-0.22448,0.417260904,125,
0.053625,0.372832,-0.024888,-0.238632,0.443360287,126,
0.060502,0.376736,-0.040016,-0.244,0.450629886,127,
0.067665,0.397476,-0.018544,-0.239608,0.464481479,128,
0.074985,0.4087,-0.009516,-0.233264,0.470678593,129,
0.082364,0.436272,-0.024644,-0.2135,0.486336133,130,
0.088942,0.440176,0.000732,-0.203496,0.484939242,131,
0.095978,0.4453,-0.00488,-0.20618,0.490740356,132,
0.102721,0.455548,-0.039528,-0.223992,0.509174684,133,
0.110255,0.460916,-0.066612,-0.237168,0.522617812,134,
0.116694,0.44652,-0.097356,-0.239364,0.515900597,135,
0.123475,0.411384,-0.119316,-0.227408,0.48496134,136,
0.129939,0.376492,-0.12444,-0.196176,0.442398647,137,
0.136733,0.33672,-0.13054,-0.16836,0.39845469,138,
0.14378,0.25132,-0.143228,-0.155916,0.328611931,139,
0.150253,0.266448,-0.143472,-0.1403,0.333560851,140,
0.156164,0.238632,-0.13542,-0.13664,0.306519653,141,
0.161913,0.220576,-0.127612,-0.134444,0.288121126,142,
0.167756,0.199836,-0.120292,-0.134444,0.269220693,143,
0.173578,0.170312,-0.100284,-0.1342,0.238898928,144,
0.179425,0.155428,-0.08906,-0.127856,0.220083401,145,
0.185153,0.121512,-0.077836,-0.128588,0.193283426,146,
0.191247,0.110776,-0.06222,-0.126636,0.179385972,147,
0.198234,0.081008,-0.050752,-0.122,0.154990521,148,
0.206215,0.055388,-0.014396,-0.129564,0.141640056,149,
0.215321,0.032208,-0.009516,-0.129076,0.133373623,150,
0.221223,0.030012,-0.002928,-0.124684,0.128278576,151,
0.228806,0.030012,-0.009516,-0.124684,0.128597723,152,
0.235389,0.042212,0.004148,-0.113948,0.121586206,153,
0.241673,0.071736,-0.00122,-0.106872,0.128721274,154,
0.247493,0.093696,-0.016348,-0.108824,0.144529791,155,
0.25325,0.138348,-0.000244,-0.122488,0.184779703,156,
0.259067,0.183244,-0.02074,-0.135664,0.228939363,157,
0.26489,0.220332,-0.074176,-0.147132,0.275129233,158,
0.270728,0.282796,-0.125904,-0.161528,0.349165705,159,
0.276473,0.32086,-0.14152,-0.188612,0.398187816,160,
0.282293,0.32818,-0.149572,-0.204228,0.414467093,161,
0.288169,0.345504,-0.177632,-0.229604,0.451269474,162,
0.293982,0.380152,-0.207888,-0.260104,0.505358343,163,
0.299884,0.422852,-0.226432,-0.27694,0.553869144,164,
0.305694,0.451888,-0.216672,-0.288408,0.578211635,165,
0.311545,0.496296,-0.199348,-0.293044,0.609855828,166,
0.317329,0.517768,-0.172508,-0.291336,0.618643174,167,
0.323169,0.514352,-0.126636,-0.278648,0.598531005,168,
0.328987,0.476044,-0.110288,-0.242536,0.545531891,169,
0.334793,0.471408,-0.080276,-0.211304,0.52279931,170,
0.340719,0.462136,-0.035624,-0.193248,0.502178794,171,
0.34656,0.405772,-0.051728,-0.18666,0.449631691,172,
0.352378,0.359168,-0.038552,-0.192028,0.409099819,173,
