time,ACCx,ACCy,ACCz,ACCnorm,,
0.117457,-0.102236,-0.022692,-0.302072,0.319710212,1,0.357071769
0.124958,-0.167872,-0.077836,-0.273768,0.330436634,2,
0.131911,0.394548,-0.06344,-0.236436,0.464321807,3,
0.1402,-0.011956,-0.174704,-0.229116,0.288372285,4,
0.147179,-0.015128,-0.146156,-0.250588,0.290490582,5,
0.159656,0.145912,0.031476,-0.223748,0.268968805,6,
0.167836,0.11346,0.010004,-0.30988,0.330149763,7,
0.176176,0.060268,0.038064,-0.374784,0.381502486,8,
0.132735,0.063196,0.014396,-0.3477,0.35368951,9,
0.139031,0.06222,0.026108,-0.340136,0.346764264,10,
0.145419,0.060512,0.034648,-0.334524,0.341714051,11,
0.151719,0.057584,0.036112,-0.329644,0.336578609,12,
0.157943,0.051484,0.035868,-0.324032,0.330051288,13,
0.164186,0.050752,0.0366,-0.311344,0.317569539,14,
0.170333,0.049288,0.042944,-0.296948,0.304058561,15,
0.176461,0.050996,0.048556,-0.287432,0.295931465,16,
0.183278,0.046604,0.047824,-0.277428,0.285351297,17,
0.189477,0.043188,0.052704,-0.27328,0.281646717,18,
0.195607,0.040504,0.055144,-0.26962,0.2781661,19,
0.201769,0.033916,0.054412,-0.26474,0.272393518,20,
0.207977,0.025376,0.054412,-0.259128,0.265992345,21,
0.214219,0.025132,0.053924,-0.247416,0.254468254,22,
0.220378,0.025376,0.052704,-0.235948,0.243090748,23,
0.226539,0.02684,0.052216,-0.229848,0.237227737,24,
0.232929,0.031232,0.048312,-0.223016,0.230316355,25,
0.238735,0.03538,0.045384,-0.221796,0.229139515,26,
0.24503,0.031232,0.044896,-0.213988,0.220866369,27,
0.250804,0.045872,0.03904,-0.215696,0.223948937,28,
0.256568,0.054168,0.026596,-0.221308,0.229387773,29,
0.262443,0.063928,0.020252,-0.226188,0.235919359,30,
0.268227,0.0671,0.00976,-0.232044,0.241747979,31,
0.274119,0.123952,0.001952,-0.24156,0.271512693,32,
0.279904,0.063684,-0.00244,-0.254248,0.262113813,33,
0.285678,0.067832,-0.010004,-0.264008,0.272766355,34,
0.291461,0.070516,-0.011956,-0.279868,0.28886251,35,
0.297263,0.074176,-0.012688,-0.298656,0.307991024,36,
0.303109,0.078324,-0.01464,-0.373808,0.382205965,37,
0.308888,0.083692,-0.007076,-0.335256,0.345616849,38,
0.319396,0.089792,-0.001708,-0.357216,0.368332447,39,
0.325645,0.105408,0.002684,-0.411872,0.425154789,40,
0.331432,0.120292,0.000732,-0.44042,0.45655282,41,
0.337228,0.125416,-0.0061,-0.476288,0.492561308,42,
0.343066,0.134932,-0.01098,-0.492148,0.510428113,43,
0.348852,0.136396,-0.02806,-0.49654,0.515696814,44,
0.354703,0.136152,-0.047092,-0.499224,0.519595637,45,
0.360578,0.128588,-0.05856,-0.491172,0.511091069,46,
0.366364,0.120536,-0.064172,-0.472384,0.491725143,47,
0.372238,0.122244,-0.051728,-0.456524,0.475429852,48,
0.378003,0.122244,-0.035624,-0.42944,0.447918942,49,
0.383884,0.116144,-0.020008,-0.401136,0.418090707,50,
0.389689,0.110776,-0.002196,-0.37698,0.392925012,51,
0.395486,0.116876,0.011956,-0.341356,0.361008122,52,
0.402247,0.105652,0.024156,-0.3172,0.335203964,53,
0.408026,0.092476,0.033184,-0.286944,0.303298282,54,
0.41392,0.095648,0.034404,-0.281332,0.299131859,55,
0.419708,0.091012,0.030744,-0.283772,0.299591264,56,
0.42549,0.08296,0.023668,-0.298656,0.310866438,57,
0.431283,0.071736,0.030012,-0.371612,0.379660707,58,
0.437063,0.072956,0.032696,-0.329888,0.339437327,59,
0.442919,0.076372,0.022692,-0.352336,0.361231596,60,
0.448724,0.078324,0.001952,-0.364292,0.372621954,61,
0.454628,0.083448,-0.01342,-0.378932,0.388243642,62,
0.460565,0.0854,-0.023424,-0.38796,0.397938193,63,
0.466366,0.093452,-0.02562,-0.389424,0.401298782,64,
0.47222,0.091744,-0.02318,-0.38186,0.39340988,65,
0.478025,0.091256,-0.02928,-0.360144,0.372677712,66,
0.483907,0.088084,-0.02196,-0.341356,0.353220825,67,
0.489708,0.08906,-0.010004,-0.31964,0.331966103,68,
0.495491,0.091988,-0.008052,-0.295972,0.310042016,69,
0.501281,0.109312,-0.002928,-0.29036,0.310268619,70,
0.507058,0.112972,-0.005124,-0.281088,0.302984145,71,
0.512902,0.10858,-0.016104,-0.282796,0.30335216,72,
0.518669,0.096624,0.02806,-0.198128,0.222212208,73,
0.524543,0.097356,0.021228,-0.250588,0.269672328,74,
0.530335,0.0976,0.010492,-0.265716,0.283268132,75,
0.536106,0.102724,0.007076,-0.27084,0.289752645,76,
0.542005,0.107604,0.016592,-0.287676,0.307589656,77,
0.547792,0.113216,0.017568,-0.310124,0.330610636,78,
0.553696,0.123464,0.018788,-0.319396,0.342943367,79,
0.559459,0.132004,-0.000976,-0.337452,0.362353227,80,
0.565232,0.1403,-0.014884,-0.347212,0.374782332,81,
0.571026,0.141276,-0.03538,-0.3538,0.382603048,82,
0.576748,0.141032,-0.04148,-0.34892,0.378623536,83,
0.582784,0.141032,-0.035868,-0.33184,0.362345586,84,
0.588592,0.125416,-0.02318,-0.326228,0.350273027,85,
0.597254,0.118584,-0.015128,-0.327692,0.348816669,86,
0.605131,0.123952,0.004392,-0.310368,0.334232978,87,
0.610881,0.136152,0.016348,-0.30622,0.335522447,88,
0.616594,0.142252,0.01952,-0.297436,0.330279936,89,
0.622509,0.128832,0.020252,-0.299388,0.32655934,90,
0.628274,0.127368,0.032696,-0.311588,0.338199228,91,
0.634104,0.136152,0.036112,-0.305488,0.336399111,92,
0.639853,0.133468,0.043432,-0.308416,0.3388517,93,
0.645639,0.144692,0.044408,-0.307684,0.342895449,94,
0.651447,0.145424,0.020984,-0.3172,0.349577328,95,
0.657223,0.148596,0.008784,-0.323544,0.356144142,96,
0.663069,0.163968,0.001464,-0.321592,0.360983466,97,
0.668847,0.16226,-0.003904,-0.317932,0.356965412,98,
0.67472,0.16348,-0.005856,-0.31476,0.354730688,99,
0.680551,0.15616,-0.011712,-0.313296,0.35025348,100,
0.688508,0.138348,-0.013176,-0.368928,0.39423552,101,
0.698639,0.14884,0.060756,-0.33916,0.375332043,102,
0.704466,0.138836,-0.001708,-0.325984,0.354321775,103,
0.710208,0.13054,0.001464,-0.253272,0.284937784,104,
0.717839,0.118828,0.011224,-0.298656,0.321623193,105,
0.723687,0.122244,0.012688,-0.295728,0.320249326,106,
0.729396,0.12688,0.025132,-0.300608,0.327254215,107,
0.735165,0.117364,0.025132,-0.294264,0.31780061,108,
0.740999,0.10492,0.018056,-0.285724,0.304913807,109,
0.747536,0.101748,0.017324,-0.282796,0.301042113,110,
0.758712,0.095892,0.010736,-0.280844,0.296957724,111,
0.765612,0.093452,0.019276,-0.294508,0.309580042,112,
0.771352,0.092232,0.029768,-0.300364,0.31561275,113,
0.777102,0.078568,0.030744,-0.304756,0.316218822,114,
0.78298,0.06954,0.035624,-0.32086,0.33023631,115,
0.788768,0.076372,0.048312,-0.325252,0.337573096,116,
0.794551,0.076372,0.034404,-0.300608,0.31206007,117,
0.800296,0.077104,0.029768,-0.290604,0.302128856,118,
0.806062,0.08052,0.023912,-0.286212,0.29828269,119,
0.811843,0.081984,0.01342,-0.27694,0.289131867,120,
0.81762,0.078324,0.009516,-0.276208,0.287256092,121,
0.823496,0.076128,0.017812,-0.273524,0.284478678,122,
0.829291,0.069052,0.013908,-0.274012,0.282920815,123,
0.835054,0.070516,0.017812,-0.275964,0.285387286,124,
0.840926,0.069052,0.016348,-0.27328,0.282342689,125,
0.846713,0.06954,0.014884,-0.2684,0.277661494,126,
0.852589,0.070516,0.018544,-0.269864,0.279540632,127,
0.858391,0.068808,0.026596,-0.267668,0.277647342,128,
0.864838,0.12444,0.031476,-0.263032,0.292680517,129,
0.870617,0.064416,0.039528,-0.275964,0.286125869,130,
0.87639,0.052948,0.043432,-0.276208,0.284571061,131,
0.88227,0.047092,0.04148,-0.2806,0.287531923,132,
0.888055,0.046848,0.043432,-0.286456,0.293492953,133,
0.893945,0.04392,0.044896,-0.287432,0.29421382,134,
0.899726,0.043188,0.043676,-0.286944,0.293444467,135,
0.90551,0.046604,0.044652,-0.293532,0.300544121,136,
0.911308,0.040992,0.04148,-0.287432,0.293288406,137,
0.917087,0.039284,0.033916,-0.28182,0.286558964,138,
0.922921,0.03782,0.033672,-0.278648,0.283211694,139,
0.928699,0.038308,0.03416,-0.27328,0.278058208,140,
0.934502,0.040016,0.032696,-0.27206,0.276924091,141,
0.940238,0.04026,0.033184,-0.27572,0.280612836,142,
0.946023,0.035624,0.038552,-0.287188,0.291945669,143,
0.951845,0.036112,0.044408,-0.292068,0.297623695,144,
0.95763,0.032208,0.046116,-0.303292,0.308464063,145,
0.963513,0.028548,0.053436,-0.309148,0.31502838,146,
0.969327,0.027084,0.052704,-0.309636,0.315254988,147,
0.975025,0.02806,0.054168,-0.30866,0.314630786,148,
0.980786,0.030012,0.055144,-0.308416,0.314741179,149,
0.986544,0.028792,0.053924,-0.302072,0.308195182,150,
0.992415,0.02074,0.050752,-0.300364,0.305326785,151,
0.998193,0.019764,0.044408,-0.303048,0.30692145,152,
0.00406,0.016348,0.043676,-0.308904,0.312404435,153,
0.009838,0.013176,0.049532,-0.31476,0.31890576,154,
0.015598,0.013908,0.059536,-0.315736,0.321600979,155,
0.021353,0.00976,0.071004,-0.314272,0.322340993,156,
0.027141,0.009272,0.075884,-0.309148,0.318460103,157,
0.032968,0.0122,0.068808,-0.304756,0.312665317,158,
0.038755,0.01586,0.060268,-0.294996,0.301506901,159,
0.044613,0.021228,0.056852,-0.291336,0.297589386,160,
0.050415,0.019764,0.05124,-0.284016,0.289277102,161,
0.056184,0.02196,0.039528,-0.28182,0.285424625,162,
0.061937,0.027328,0.036112,-0.286944,0.290495706,163,
