time,ACCx,ACCy,ACCz,ACCnorm,,
0.233094,0.116632,0.122488,-0.245708,0.298293069,1,0.344605384
0.240428,0.160796,0.184708,-0.0976,0.263625035,2,
0.247685,0.252052,0.0427,-0.198128,0.323431917,3,
0.254947,0.174948,0.091744,-0.205692,0.285189346,4,
0.262364,0.0671,-0.375272,-0.133956,0.404073872,5,
0.274714,0.092476,-0.307684,0.000244,0.32128074,6,
0.281863,0.079544,-0.328424,0.002684,0.337930134,7,
0.291072,0.090524,-0.329888,0.004636,0.342114279,8,
0.257866,0.0854,-0.330132,0.00854,0.341105891,9,
0.264265,0.086864,-0.329156,0.008784,0.340538082,10,
0.271622,0.08906,-0.328424,0.008784,0.34039854,11,
0.278774,0.08662,-0.32818,0.007076,0.339492572,12,
0.285533,0.088572,-0.329156,0.006588,0.340928252,13,
0.292686,0.086864,-0.329156,0.00732,0.340503464,14,
0.301135,0.088816,-0.327692,0.006344,0.339574108,15,
0.307874,0.085888,-0.329156,0.005612,0.340223332,16,
0.315904,0.087108,-0.328912,0.006344,0.340310379,17,
0.322717,0.0854,-0.329888,0.00732,0.340841363,18,
0.329913,0.085888,-0.33062,0.008052,0.3416887,19,
0.336653,0.08418,-0.329888,0.007564,0.340543065,20,
0.343882,0.083204,-0.330376,0.00854,0.340799264,21,
0.350629,0.083692,-0.330132,0.005612,0.340621466,22,
0.357745,0.082716,-0.33062,0.006344,0.340869135,23,
0.364453,0.083448,-0.331596,0.007564,0.342018552,24,
0.370021,0.085156,-0.329156,0.006344,0.340052147,25,
0.375506,0.083204,-0.332328,0.007808,0.342674437,26,
0.381053,0.085888,-0.33062,0.007076,0.341667093,27,
0.386621,0.084912,-0.331352,0.007808,0.342147864,28,
0.395671,0.087352,-0.328912,0.008296,0.340414893,29,
0.402299,0.086864,-0.332084,0.008296,0.343356901,30,
0.408595,0.086376,-0.33062,0.0061,0.34177128,31,
0.415365,0.088328,-0.33062,0.004636,0.342246859,32,
0.421615,0.086864,-0.332328,0.0061,0.343546888,33,
0.428333,0.087596,-0.328424,0.008052,0.34000032,34,
0.436254,0.087108,-0.331596,0.00732,0.342924617,35,
0.443205,0.091744,-0.331596,0.006832,0.34412141,36,
0.450049,0.088572,-0.33184,0.005368,0.343499054,37,
0.456348,0.089548,-0.33062,0.0061,0.342586688,38,
0.463115,0.08906,-0.330864,0.00488,0.34267548,39,
0.469441,0.089792,-0.332816,0.0061,0.344769928,40,
0.476483,0.090036,-0.33184,0.00488,0.343872187,41,
0.48327,0.094184,-0.335744,0.00488,0.348738403,42,
0.48958,0.094916,-0.3355,0.005124,0.348705538,43,
0.496297,0.094672,-0.33794,0.00488,0.350984395,44,
0.503197,0.095404,-0.335256,0.005612,0.348611536,45,
0.509495,0.09638,-0.330376,0.004148,0.344172358,46,
0.515479,0.095648,-0.33062,0.001708,0.344181698,47,
0.521014,0.097112,-0.329156,0.000976,0.343184157,48,
0.526542,0.0976,-0.325984,-0.002196,0.340288335,49,
0.534407,0.092476,-0.326472,-0.00488,0.339351723,50,
0.541116,0.092232,-0.325252,-0.005612,0.338122906,51,
0.548047,0.094916,-0.323544,-0.0061,0.337234306,52,
0.554465,0.092476,-0.326228,-0.00488,0.33911699,53,
0.561422,0.090768,-0.3233,-0.005856,0.335851176,54,
0.568369,0.093208,-0.322812,-0.003172,0.336013958,55,
0.576881,0.091744,-0.320616,-0.000488,0.333484361,56,
0.583586,0.092232,-0.320372,0.000488,0.33338446,57,
0.589902,0.088816,-0.322324,0.000976,0.334338145,58,
0.597442,0.087352,-0.320372,0.00122,0.332069388,59,
0.604165,0.08418,-0.32208,0.00122,0.332901318,60,
0.610427,0.081496,-0.322324,0.000976,0.332468512,61,
0.617411,0.081008,-0.321592,0.00244,0.331646897,62,
0.624468,0.081496,-0.322812,0.001708,0.332944594,63,
0.631808,0.081008,-0.322812,0.003172,0.332836213,64,
0.638615,0.081496,-0.32208,0.00488,0.332266367,65,
0.645379,0.08296,-0.320128,0.009272,0.330832689,66,
0.651609,0.083448,-0.320128,0.009516,0.330962323,67,
0.658518,0.08418,-0.320616,0.01098,0.331664668,68,
0.665327,0.085644,-0.320616,0.010736,0.332031288,69,
0.671554,0.083692,-0.319396,0.011468,0.330378072,70,
0.679579,0.08418,-0.32086,0.0122,0.331943146,71,
0.686517,0.082716,-0.323788,0.01098,0.334366814,72,
0.69864,0.082472,-0.325008,0.013908,0.335596876,73,
0.705636,0.082472,-0.328668,0.01464,0.339173429,74,
0.711922,0.079788,-0.32696,0.018056,0.337038552,75,
0.718631,0.081008,-0.331108,0.019764,0.341446071,76,
0.725613,0.078324,-0.332816,0.02074,0.342536548,77,
0.731893,0.077348,-0.332816,0.022936,0.342454761,78,
0.738889,0.074908,-0.332816,0.02196,0.341847832,79,
0.745777,0.07442,-0.335012,0.025864,0.344151599,80,
0.752603,0.070516,-0.332328,0.023668,0.340550408,81,
0.758536,0.070516,-0.337696,0.025132,0.345894076,82,
0.764811,0.070516,-0.337452,0.026108,0.345728197,83,
0.770503,0.072224,-0.336964,0.02806,0.345757729,84,
0.776146,0.071248,-0.337696,0.022692,0.345875401,85,
0.782594,0.071492,-0.338672,0.02196,0.346831474,86,
0.789711,0.071004,-0.337696,0.022204,0.345793543,87,
0.797706,0.071492,-0.337696,0.022692,0.345925745,88,
0.805945,0.070516,-0.336964,0.02318,0.345042832,89,
0.814075,0.071492,-0.336476,0.022936,0.344751018,90,
0.820596,0.071004,-0.334036,0.022448,0.342236074,91,
0.828837,0.072956,-0.33672,0.020984,0.345171355,92,
0.835142,0.073444,-0.331596,0.02074,0.340264715,93,
0.841819,0.07076,-0.329644,0.025376,0.338106619,94,
0.848097,0.071492,-0.33062,0.022448,0.339005314,95,
0.854908,0.072224,-0.332328,0.02562,0.341049249,96,
0.86145,0.070028,-0.33184,0.02684,0.340208895,97,
0.868394,0.070516,-0.332084,0.028792,0.340707013,98,
